,university,journal,issn,access,notes
56,brandon-cleaned,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,0002-9092,1,
57,brandon-cleaned,AMERICAN JOURNAL OF BOTANY,0002-9122,1,
58,brandon-cleaned,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,0091-0562,1,
59,brandon-cleaned,AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,0363-6119,0,
60,brandon-cleaned,AMERICAN JOURNAL OF PRIMATOLOGY,0275-2565,0,
61,brandon-cleaned,AMERICAN MIDLAND NATURALIST,0003-0031,1,
62,brandon-cleaned,AMERICAN NATURALIST,0003-0147,1,
63,brandon-cleaned,AMERICAN REVIEW OF CANADIAN STUDIES,0272-2011,1,
64,brandon-cleaned,AMERICAN SCIENTIST,0003-0996,1,
65,brandon-cleaned,AMFITEATRU ECONOMIC,1582-9146,0,
66,brandon-cleaned,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,0001-3765,0,
67,brandon-cleaned,ANALES DEL JARDIN BOTANICO DE MADRID,0211-1322,0,
68,brandon-cleaned,ANALYTICAL METHODS,1759-9660,0,
69,brandon-cleaned,ANIMAL,1751-7311,0,
70,brandon-cleaned,ANIMAL BEHAVIOUR,0003-3472,1,
71,brandon-cleaned,ANIMAL BIODIVERSITY AND CONSERVATION,1578-665X,0,
72,brandon-cleaned,ANIMAL BIOLOGY,1570-7555,1,
73,brandon-cleaned,ANIMAL CONSERVATION,1367-9430,0,
74,brandon-cleaned,ANIMAL FEED SCIENCE AND TECHNOLOGY,0377-8401,1,
75,brandon-cleaned,ANIMAL GENETICS,0268-9146,1,
76,brandon-cleaned,ANIMAL PRODUCTION SCIENCE,1836-0939,0,
77,brandon-cleaned,ANIMAL REPRODUCTION SCIENCE,0378-4320,1,
78,brandon-cleaned,ANIMAL RESEARCH,1627-3583,0,
79,brandon-cleaned,ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,0003-4088,0,
80,brandon-cleaned,ANNALES ZOOLOGICI FENNICI,0003-455X,0,
81,brandon-cleaned,ANNALI DI BOTANICA,0365-0812,0,
82,brandon-cleaned,ANNALS OF APPLIED BIOLOGY,0003-4746,0,
83,brandon-cleaned,ANNALS OF APPLIED STATISTICS,1932-6157,0,
84,brandon-cleaned,ANNALS OF BOTANY,0305-7364,1,
85,brandon-cleaned,ANNALS OF FOREST RESEARCH,1844-8135,1,
86,brandon-cleaned,ANNALS OF FOREST SCIENCE,1286-4560,0,
87,brandon-cleaned,ANNALS OF OPERATIONS RESEARCH,0254-5330,0,
88,brandon-cleaned,ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS,2469-4452,0,
89,brandon-cleaned,ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,0004-5608,1,
90,brandon-cleaned,ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,0013-8746,1,
91,brandon-cleaned,ANNALS OF THE MISSOURI BOTANICAL GARDEN,0026-6493,1,
92,brandon-cleaned,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,0077-8923,0,
93,brandon-cleaned,"ANNUAL REVIEW OF ANIMAL BIOSCIENCES, VOL 2",2165-8102,0,
94,brandon-cleaned,"ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCES, VOL 43",0084-6597,1,
95,brandon-cleaned,ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS,0066-4162,1,
96,brandon-cleaned,ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,1543-592X,1,
97,brandon-cleaned,ANNUAL REVIEW OF ENERGY AND THE ENVIRONMENT,1056-3466,1,
98,brandon-cleaned,ANNUAL REVIEW OF ENTOMOLOGY,0066-4170,1,
99,brandon-cleaned,ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES,1543-5938,1,
100,brandon-cleaned,ANNUAL REVIEW OF GENOMICS AND HUMAN GENETICS,1527-8204,1,
101,brandon-cleaned,ANNUAL REVIEW OF MARINE SCIENCE,1941-1405,0,
102,brandon-cleaned,ANNUAL REVIEW OF PHYTOPATHOLOGY,0066-4286,1,
103,brandon-cleaned,"ANNUAL REVIEW OF RESOURCE ECONOMICS, VOL 2, 2010",1941-1340,0,
104,brandon-cleaned,ANTARCTIC SCIENCE,0954-1020,0,
105,brandon-cleaned,ANTHROPOCENE,2213-3054,1,
106,brandon-cleaned,ANTIPODE,0066-4812,1,
107,brandon-cleaned,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,0003-6072,0,
108,brandon-cleaned,AOB PLANTS,2041-2851,1,
109,brandon-cleaned,APIDOLOGIE,0044-8435,0,
110,brandon-cleaned,APPLICATIONS IN PLANT SCIENCES,2168-0450,1,
111,brandon-cleaned,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,0099-2240,0,
112,brandon-cleaned,APPLIED ANIMAL BEHAVIOUR SCIENCE,0168-1591,1,
113,brandon-cleaned,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,1589-1623,0,
114,brandon-cleaned,APPLIED ENERGY,0306-2619,1,
115,brandon-cleaned,APPLIED ENGINEERING IN AGRICULTURE,0883-8542,0,
116,brandon-cleaned,APPLIED ENTOMOLOGY AND ZOOLOGY,0003-6862,0,
117,brandon-cleaned,APPLIED GEOGRAPHY,0143-6228,1,
118,brandon-cleaned,APPLIED GEOMATICS,1866-9298,0,
119,brandon-cleaned,APPLIED MATHEMATICAL MODELLING,0307-904X,1,
120,brandon-cleaned,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,0175-7598,1,
121,brandon-cleaned,APPLIED SOIL ECOLOGY,0929-1393,1,
122,brandon-cleaned,APPLIED SPATIAL ANALYSIS AND POLICY,1874-463X,0,
123,brandon-cleaned,APPLIED VEGETATION SCIENCE,1402-2001,1,
124,brandon-cleaned,AQUACULTURAL ENGINEERING,0144-8609,1,
125,brandon-cleaned,AQUACULTURE,0044-8486,1,
126,brandon-cleaned,AQUACULTURE ENVIRONMENT INTERACTIONS,1869-215X,0,
127,brandon-cleaned,AQUACULTURE INTERNATIONAL,0967-6120,0,
128,brandon-cleaned,AQUACULTURE RESEARCH,1355-557X,1,
129,brandon-cleaned,AQUATIC BIOLOGY,1864-7790,0,
130,brandon-cleaned,AQUATIC BOTANY,0304-3770,1,
131,brandon-cleaned,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,1052-7613,0,
132,brandon-cleaned,AQUATIC ECOLOGY,1386-2588,0,
133,brandon-cleaned,AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,1463-4988,1,
134,brandon-cleaned,AQUATIC INVASIONS,1798-6540,1,
135,brandon-cleaned,AQUATIC LIVING RESOURCES,0990-7440,0,
136,brandon-cleaned,AQUATIC SCIENCES,1015-1621,0,
137,brandon-cleaned,AQUATIC TOXICOLOGY,0166-445X,1,
138,brandon-cleaned,ARABIAN JOURNAL OF GEOSCIENCES,1866-7511,0,
139,brandon-cleaned,ARCHIV FUR HYDROBIOLOGIE,0003-9136,0,
140,brandon-cleaned,ARCHIVES OF BIOLOGICAL SCIENCES,0354-4664,0,
141,brandon-cleaned,ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,0090-4341,0,
142,brandon-cleaned,ARCTIC,0004-0843,1,
143,brandon-cleaned,ARCTIC ANTHROPOLOGY,0066-6939,1,
144,brandon-cleaned,ARDEA,0373-2266,0,
145,brandon-cleaned,ARDEOLA-INTERNATIONAL JOURNAL OF ORNITHOLOGY,0570-7358,0,
146,brandon-cleaned,AREA,0004-0894,1,
147,brandon-cleaned,ARID ECOSYSTEMS,2079-0961,0,
148,brandon-cleaned,ARID LAND RESEARCH AND MANAGEMENT,1532-4982,1,
149,brandon-cleaned,ARTHROPOD-PLANT INTERACTIONS,1872-8855,0,
150,brandon-cleaned,ASIA-PACIFIC JOURNAL OF PUBLIC HEALTH,1010-5395,0,
151,brandon-cleaned,ASIA LIFE SCIENCES,0117-3375,1,
152,brandon-cleaned,ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES,1011-2367,0,
153,brandon-cleaned,ASIAN JOURNAL OF CHEMISTRY,0970-7077,0,
154,brandon-cleaned,ASIAN JOURNAL OF WATER ENVIRONMENT AND POLLUTION,0972-9860,0,
155,brandon-cleaned,ASIAN PACIFIC JOURNAL OF TROPICAL MEDICINE,1995-7645,0,
156,brandon-cleaned,ATMOSPHERIC ENVIRONMENT,1352-2310,1,
157,brandon-cleaned,ATMOSPHERIC RESEARCH,0169-8095,1,
158,brandon-cleaned,AUK,0004-8038,1,
159,brandon-cleaned,AUSTRAL ECOLOGY,1442-9985,1,
160,brandon-cleaned,AUSTRAL ENTOMOLOGY,2052-1758,0,
161,brandon-cleaned,AUSTRALASIAN JOURNAL OF ENVIRONMENTAL MANAGEMENT,1448-6563,0,
162,brandon-cleaned,AUSTRALASIAN PLANT PATHOLOGY,0815-3191,0,
163,brandon-cleaned,AUSTRALIAN FORESTRY,0004-9158,0,
164,brandon-cleaned,AUSTRALIAN GEOGRAPHER,0004-9182,1,
165,brandon-cleaned,AUSTRALIAN JOURNAL OF BOTANY,0067-1924,1,
166,brandon-cleaned,AUSTRALIAN JOURNAL OF EARTH SCIENCES,0812-0099,1,
167,brandon-cleaned,AUSTRALIAN JOURNAL OF EXPERIMENTAL AGRICULTURE,0816-1089,0,
168,brandon-cleaned,AUSTRALIAN JOURNAL OF ZOOLOGY,0004-959X,0,
169,brandon-cleaned,AUSTRALIAN LAW JOURNAL,0004-9611,0,
170,brandon-cleaned,AUSTRALIAN MAMMALOGY,0310-0049,0,
171,brandon-cleaned,AUSTRALIAN SYSTEMATIC BOTANY,1030-1887,0,
172,brandon-cleaned,AUSTRIAN JOURNAL OF FOREST SCIENCE,0379-5292,0,
173,brandon-cleaned,AUTOMATICA,0005-1098,1,
174,brandon-cleaned,AVIAN BIOLOGY RESEARCH,1758-1559,0,
175,brandon-cleaned,AVIAN CONSERVATION AND ECOLOGY,1712-6568,0,
176,brandon-cleaned,AVIAN RESEARCH,2053-7166,1,
177,brandon-cleaned,B E JOURNAL OF ECONOMIC ANALYSIS & POLICY,1935-1682,0,
178,brandon-cleaned,BALTIC FORESTRY,1392-1355,0,
179,brandon-cleaned,BALTIC JOURNAL OF ECONOMIC STUDIES,2256-0742,0,
180,brandon-cleaned,BASIC AND APPLIED ECOLOGY,1439-1791,1,
181,brandon-cleaned,BEHAVIORAL ECOLOGY,1045-2249,0,
182,brandon-cleaned,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,0,
183,brandon-cleaned,BEHAVIOUR,0005-7959,1,
184,brandon-cleaned,BEHAVIOURAL PROCESSES,0376-6357,1,
185,brandon-cleaned,BELGIAN JOURNAL OF BOTANY,0778-4031,1,
186,brandon-cleaned,BELGIAN JOURNAL OF ZOOLOGY,0777-6276,1,
187,brandon-cleaned,BERICHTE UBER LANDWIRTSCHAFT,2196-5099,0,
188,brandon-cleaned,BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT,0005-9366,0,
189,brandon-cleaned,BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,0952-4622,0,
190,brandon-cleaned,BIOCHEMICAL GENETICS,0006-2928,0,
191,brandon-cleaned,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,0305-1978,1,
192,brandon-cleaned,BIOCONTROL,1386-6141,0,
193,brandon-cleaned,BIOCONTROL SCIENCE AND TECHNOLOGY,0958-3157,1,
194,brandon-cleaned,BIODIVERSITY AND CONSERVATION,0960-3115,0,
195,brandon-cleaned,BIOENERGY RESEARCH,1939-1234,0,
196,brandon-cleaned,BIOETHICS,0269-9702,1,
197,brandon-cleaned,BIOFOULING,0892-7014,0,
198,brandon-cleaned,BIOFUELS BIOPRODUCTS & BIOREFINING-BIOFPR,1932-104X,0,
199,brandon-cleaned,BIOGEOCHEMISTRY,0168-2563,1,
200,brandon-cleaned,BIOLOGIA,0006-3088,0,
201,brandon-cleaned,BIOLOGICAL AGRICULTURE & HORTICULTURE,0144-8765,0,
202,brandon-cleaned,BIOLOGICAL BULLETIN,0006-3185,1,
203,brandon-cleaned,BIOLOGICAL CONSERVATION,0006-3207,1,
204,brandon-cleaned,BIOLOGICAL CONTROL,1049-9644,1,
205,brandon-cleaned,BIOLOGICAL INVASIONS,1387-3547,0,
206,brandon-cleaned,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4066,1,
207,brandon-cleaned,BIOLOGICAL REVIEWS,1464-7931,1,
208,brandon-cleaned,BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY,0791-7945,0,
209,brandon-cleaned,BIOLOGY LETTERS,1744-9561,0,
210,brandon-cleaned,BIOMASS & BIOENERGY,0961-9534,1,
211,brandon-cleaned,BIOMETRICS,0006-341X,1,
212,brandon-cleaned,BIOSCIENCE,0006-3568,1,
213,brandon-cleaned,BIOSYSTEMS DIVERSITY,2310-0842,0,
214,brandon-cleaned,BIOTA NEOTROPICA,1676-0603,0,
215,brandon-cleaned,BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT,1310-2818,0,
216,brandon-cleaned,BIOTECHNOLOGY ADVANCES,0734-9750,1,
217,brandon-cleaned,BIOTROPICA,0006-3606,1,
218,brandon-cleaned,BIRD CONSERVATION INTERNATIONAL,0959-2709,0,
219,brandon-cleaned,BIRD STUDY,0006-3657,0,
220,brandon-cleaned,BOIS ET FORETS DES TROPIQUES,0006-579X,0,
221,brandon-cleaned,BOREAL ENVIRONMENT RESEARCH,1239-6095,0,
222,brandon-cleaned,BOSQUE,0717-9200,0,
223,brandon-cleaned,BOSTON UNIVERSITY LAW REVIEW,0006-8047,1,
224,brandon-cleaned,BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4074,1,
225,brandon-cleaned,BOTANICAL REVIEW,0006-8101,1,
226,brandon-cleaned,BOTANY,1916-2790,0,
227,brandon-cleaned,BOTANY LETTERS,2381-8107,0,
228,brandon-cleaned,BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,1516-8913,0,
229,brandon-cleaned,BRAZILIAN JOURNAL OF BIOLOGY,1519-6984,0,
230,brandon-cleaned,BRAZILIAN JOURNAL OF BOTANY,0100-8404,0,
231,brandon-cleaned,BRAZILIAN JOURNAL OF OCEANOGRAPHY,1679-8759,0,
232,brandon-cleaned,BRITISH FOOD JOURNAL,0007-070X,0,
233,brandon-cleaned,BUILDING AND ENVIRONMENT,0360-1323,1,
234,brandon-cleaned,BUILDING RESEARCH AND INFORMATION,0961-3218,1,
235,brandon-cleaned,BULGARIAN CHEMICAL COMMUNICATIONS,0324-1130,0,
236,brandon-cleaned,BULGARIAN JOURNAL OF AGRICULTURAL SCIENCE,1310-0351,1,
237,brandon-cleaned,BULLETIN FRANCAIS DE LA PECHE ET DE LA PISCICULTURE,0767-2861,0,
238,brandon-cleaned,BULLETIN OF ENTOMOLOGICAL RESEARCH,0007-4853,0,
239,brandon-cleaned,BULLETIN OF MARINE SCIENCE,0007-4977,0,
240,brandon-cleaned,BULLETIN OF MATHEMATICAL BIOLOGY,0092-8240,1,
241,brandon-cleaned,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,0003-0007,1,
242,brandon-cleaned,BULLETIN OF THE NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF KAZAKHSTAN,1991-3494,0,
243,brandon-cleaned,BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY,0079-032X,0,
244,brandon-cleaned,BUSINESS & SOCIETY,0007-6503,1,
245,brandon-cleaned,BUSINESS STRATEGY AND THE ENVIRONMENT,0964-4733,0,
246,brandon-cleaned,CAHIERS DE BIOLOGIE MARINE,0007-9723,0,
247,brandon-cleaned,CANADIAN ENTOMOLOGIST,0008-347X,0,
248,brandon-cleaned,CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN,0008-3658,1,
249,brandon-cleaned,CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,0008-3976,1,
250,brandon-cleaned,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,0008-4026,1,
251,brandon-cleaned,CANADIAN JOURNAL OF DEVELOPMENT STUDIES-REVUE CANADIENNE D ETUDES DU DEVELOPPEMENT,0225-5189,0,
252,brandon-cleaned,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,0706-652X,1,
253,brandon-cleaned,CANADIAN JOURNAL OF FOREST RESEARCH,0045-5067,1,
254,brandon-cleaned,CANADIAN JOURNAL OF PLANT SCIENCE,0008-4220,1,
255,brandon-cleaned,CANADIAN JOURNAL OF REMOTE SENSING,0703-8992,1,
256,brandon-cleaned,CANADIAN JOURNAL OF SOIL SCIENCE,0008-4271,0,
257,brandon-cleaned,CANADIAN JOURNAL OF ZOOLOGY,0008-4301,1,
258,brandon-cleaned,CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES,0317-0861,0,
259,brandon-cleaned,CANADIAN WATER RESOURCES JOURNAL,0701-1784,0,
260,brandon-cleaned,CANDOLLEA,0373-2967,0,
261,brandon-cleaned,CARBON MANAGEMENT,1758-3004,0,
262,brandon-cleaned,CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,1842-4090,0,
263,brandon-cleaned,CASTANEA,0008-7475,1,
264,brandon-cleaned,CATENA,0341-8162,1,
265,brandon-cleaned,CCAMLR SCIENCE,1023-4063,0,
266,brandon-cleaned,CENTRAL EUROPEAN FORESTRY JOURNAL,2454-034X,0,
267,brandon-cleaned,CENTRAL EUROPEAN JOURNAL OF BIOLOGY,1895-104X,0,
268,brandon-cleaned,CENTRAL EUROPEAN JOURNAL OF OPERATIONS RESEARCH,1435-246X,1,
269,brandon-cleaned,CEREAL RESEARCH COMMUNICATIONS,0133-3720,0,
270,brandon-cleaned,CHAOS SOLITONS & FRACTALS,0960-0779,1,
271,brandon-cleaned,CHELONIAN CONSERVATION AND BIOLOGY,1071-8443,0,
272,brandon-cleaned,CHEMISTRY AND ECOLOGY,0275-7540,1,
273,brandon-cleaned,CHEMOECOLOGY,0937-7409,0,
274,brandon-cleaned,CHEMOSPHERE,0045-6535,1,
275,brandon-cleaned,CHIANG MAI JOURNAL OF SCIENCE,0125-2526,0,
276,brandon-cleaned,CHINA ECONOMIC REVIEW,1043-951X,1,
277,brandon-cleaned,CHINA OCEAN ENGINEERING,0890-5487,0,
278,brandon-cleaned,CHINESE GEOGRAPHICAL SCIENCE,1002-0063,0,
279,brandon-cleaned,CHINESE JOURNAL OF INTERNATIONAL LAW,1540-1650,1,
280,brandon-cleaned,CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,0254-4059,0,
281,brandon-cleaned,CHINESE JOURNAL OF POPULATION RESOURCES AND ENVIRONMENT,1004-2857,0,
282,brandon-cleaned,CHINESE SCIENCE BULLETIN,1001-6538,0,
283,brandon-cleaned,CHUNGARA-REVISTA DE ANTROPOLOGIA CHILENA,0716-1182,0,
284,brandon-cleaned,CIENCIA & SAUDE COLETIVA,1413-8123,0,
285,brandon-cleaned,CIENCIAS MARINAS,0185-3880,0,
286,brandon-cleaned,CITIES,0264-2751,1,
287,brandon-cleaned,CIVIL AND ENVIRONMENTAL ENGINEERING REPORTS,2080-5187,0,
288,brandon-cleaned,CLEAN-SOIL AIR WATER,1863-0650,0,
289,brandon-cleaned,CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,1618-954X,0,
290,brandon-cleaned,CLIMATE AND DEVELOPMENT,1756-5529,0,
291,brandon-cleaned,CLIMATE DYNAMICS,0930-7575,1,
292,brandon-cleaned,CLIMATE POLICY,1469-3062,1,
293,brandon-cleaned,CLIMATE RESEARCH,0936-577X,0,
294,brandon-cleaned,CLIMATE RISK MANAGEMENT,2212-0963,1,
295,brandon-cleaned,CLIMATIC CHANGE,0165-0009,0,
296,brandon-cleaned,COASTAL MANAGEMENT,0892-0753,1,
297,brandon-cleaned,COLD REGIONS SCIENCE AND TECHNOLOGY,0165-232X,1,
298,brandon-cleaned,COMMUNICATIO-SOUTH AFRICAN JOURNAL FOR COMMUNICATION THEORY AND RESEARCH,0250-0167,0,
299,brandon-cleaned,COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION,1007-5704,1,
300,brandon-cleaned,COMMUNITY ECOLOGY,1585-8553,0,
301,brandon-cleaned,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,1095-6433,1,
302,brandon-cleaned,COMPARATIVE COGNITION & BEHAVIOR REVIEWS,1911-4745,1,
303,brandon-cleaned,COMPARATIVE POLITICS,0010-4159,1,
304,brandon-cleaned,COMPTES RENDUS BIOLOGIES,1631-0691,1,
305,brandon-cleaned,COMPTES RENDUS GEOSCIENCE,1631-0713,1,
306,brandon-cleaned,COMPUTATIONAL & APPLIED MATHEMATICS,0101-8205,0,
307,brandon-cleaned,COMPUTER JOURNAL,0010-4620,1,
308,brandon-cleaned,COMPUTERS & GEOSCIENCES,0098-3004,1,
309,brandon-cleaned,COMPUTERS AND ELECTRONICS IN AGRICULTURE,0168-1699,1,
310,brandon-cleaned,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,0198-9715,1,
311,brandon-cleaned,CONDOR,0010-5422,1,
312,brandon-cleaned,CONFIGURATIONS,1063-1801,0,
313,brandon-cleaned,CONSERVATION & SOCIETY,0972-4923,0,
314,brandon-cleaned,CONSERVATION BIOLOGY,0888-8892,1,
315,brandon-cleaned,CONSERVATION ECOLOGY,1195-5449,1,
316,brandon-cleaned,CONSERVATION GENETICS,1566-0621,0,
317,brandon-cleaned,CONSERVATION GENETICS RESOURCES,1877-7252,0,
318,brandon-cleaned,CONSERVATION LETTERS,1755-263X,1,
319,brandon-cleaned,CONSERVATION PHYSIOLOGY,2051-1434,1,
320,brandon-cleaned,CONTEMPORARY PROBLEMS OF ECOLOGY,1995-4255,0,
321,brandon-cleaned,CONTEMPORARY TRENDS IN GEOSCIENCE,2084-5707,0,
322,brandon-cleaned,CONTINENTAL SHELF RESEARCH,0278-4343,1,
323,brandon-cleaned,COPEIA,0045-8511,1,
324,brandon-cleaned,CORAL REEFS,0722-4028,0,
325,brandon-cleaned,CRITICAL REVIEWS IN BIOTECHNOLOGY,0738-8551,1,
326,brandon-cleaned,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1064-3389,0,
327,brandon-cleaned,CRITICAL REVIEWS IN PLANT SCIENCES,0735-2689,1,
328,brandon-cleaned,CRITICAL REVIEWS IN TOXICOLOGY,1040-8444,1,
329,brandon-cleaned,CROP & PASTURE SCIENCE,1836-0947,0,
330,brandon-cleaned,CROP PROTECTION,0261-2194,1,
331,brandon-cleaned,CROP SCIENCE,0011-183X,0,
332,brandon-cleaned,CROSS-CULTURAL RESEARCH,1069-3971,1,
